"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Sample"
"23",0,0,0,0,0,0.0643736016750314,0,0.108064700323827,0,0,0,0,0,0,0,0.327337123829896,0,0,0,0,0,0,0,0,0,0,0,0,0.0728709933251034,0.255065962185738,"7577"
"16",0,0,0,0,0.166429468111219,0.261213410977714,0.0972778584238688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134298232799479,"7729"
"22",0,0,0,0.377356097186076,0,0.165909458165222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374257360578023,0,0,0,0,0,0,"2937"
"2",0,0,0.0725580179520773,0,0.14656551024152,0.199418655940188,0,0.0929957486365645,0,0,0,0.243071263065469,0,0,0.0861494311286511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8728"
"10",0,0,0.282588647759383,0,0,0.228296629237207,0.106129178544095,0,0,0,0,0,0.109864103276645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0522"
"7",0,0,0.326699272868777,0,0,0,0,0,0,0,0,0.237951160303309,0,0,0,0.115217833431828,0,0,0,0.132797567478835,0,0,0.0646535448343782,0,0,0,0,0,0,0,"6428"
"20",0,0.138945924956056,0.255350905500331,0.121416793895322,0,0.146833675162597,0,0,0,0,0,0,0.107598140395661,0,0,0,0,0,0,0,0,0,0.0835981133153446,0,0,0,0,0,0,0,"2278"
"13",0.0720339844843724,0.257113694320898,0,0,0.0909889470557438,0,0.0723802795764668,0,0,0,0,0,0.502470714959153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2131"
"1",0.0752808336791562,0.0991414240363668,0.325969278219493,0,0,0,0,0,0,0,0,0,0.350389562840974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0040"
"17",0.0948773387321902,0,0,0.172935232909637,0.246380454364166,0.139250448561369,0,0,0,0,0,0.250310092023574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06001083131883,"9723"
"6",0.0992741513352052,0.192867331680652,0.1260141940587,0,0,0,0.120389124521242,0,0,0,0,0,0.404205361078276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2849"
"5",0.104320606174218,0,0.232229579457157,0,0.190419171683839,0.140200390625699,0,0,0,0,0,0.0669072438601839,0,0,0,0,0,0,0,0,0,0,0.0770091611243133,0,0.0668265027046687,0,0,0,0,0,"1233"
"9",0.118835776663486,0.182276088362291,0.0923863406995087,0.112674916256881,0,0,0.0699705979271203,0,0,0,0,0,0.278224292364678,0,0,0,0,0,0,0,0,0,0,0.0752943629913463,0,0,0,0,0,0,"9517"
"21",0.13170460392868,0,0,0,0.301041985712742,0,0,0,0,0,0,0.153437213819854,0,0,0,0.0658767837964504,0.1216012573076,0,0,0,0,0,0.0686335782371273,0.0633232034557463,0,0,0,0,0,0,"1994"
"4",0.133871829839983,0.264569301661108,0,0,0,0,0.115413189072153,0,0,0,0,0,0.375641778562803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0471"
"24",0.136515959955769,0.272219415634332,0.16681095339583,0,0,0,0.0716966967036004,0,0,0,0,0,0.209693644958353,0,0,0,0,0,0,0,0,0,0,0.0658222454043338,0,0,0,0,0,0,"3529"
"15",0.149555566085098,0.214052177126046,0,0,0,0,0.134230841615796,0,0,0,0,0,0.315220881114821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1849"
"18",0.156443311404615,0,0.244643488185707,0,0,0.118451585258535,0.100280274204992,0,0,0,0,0.341024594275543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9881"
"8",0.158366620128794,0.183037449148209,0.123730301494101,0,0,0,0.116062250855994,0,0,0,0,0,0.377294498686577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2389"
"11",0.159924015844978,0.2315473907016,0.0813600720495395,0,0,0,0.0993595492844258,0,0,0.0698009774477089,0,0,0.223448582899871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6800"
"19",0.160028358689518,0,0.413948755266105,0.130454522148128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076600873461933,0,0,0,0,0,0,0,0,0,0,0,0,"6229"
"14",0.19860834877902,0.0725989242593127,0,0.117334241299723,0.160447124071939,0,0,0,0,0,0,0.0740593150855859,0.172255475851959,0,0,0.062285516312346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5122"
"12",0.298844418084652,0,0,0,0.251601682367865,0.208695371091184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5338"
"3",0.303392348379018,0,0,0,0.25519710808694,0,0,0,0,0,0.0874561457870469,0.13517233702337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1249"
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5037"
